date,COMEX Inventory: Copper (short ton)
2015-01-01T16:00:00.000Z,26334
2015-01-04T16:00:00.000Z,26257
2015-01-05T16:00:00.000Z,26157
2015-01-06T16:00:00.000Z,26368
2015-01-08T16:00:00.000Z,26071
2015-01-11T16:00:00.000Z,25952
2015-01-12T16:00:00.000Z,25608
2015-01-14T16:00:00.000Z,24519
2015-01-15T16:00:00.000Z,24108
2015-01-19T16:00:00.000Z,24092
2015-01-20T16:00:00.000Z,23060
2015-01-21T16:00:00.000Z,22702
2015-01-22T16:00:00.000Z,22582
2015-01-25T16:00:00.000Z,22255
2015-01-26T16:00:00.000Z,22015
2015-01-27T16:00:00.000Z,21744
2015-01-28T16:00:00.000Z,21455
2015-01-29T16:00:00.000Z,21333
2015-02-01T16:00:00.000Z,21289
2015-02-02T16:00:00.000Z,21148
2015-02-03T16:00:00.000Z,20796
2015-02-04T16:00:00.000Z,20189
2015-02-05T16:00:00.000Z,19709
2015-02-08T16:00:00.000Z,19172
2015-02-09T16:00:00.000Z,18975
2015-02-10T16:00:00.000Z,18703
2015-02-11T16:00:00.000Z,18558
2015-02-12T16:00:00.000Z,18493
2015-02-16T16:00:00.000Z,18585
2015-02-17T16:00:00.000Z,18248
2015-02-18T16:00:00.000Z,18143
2015-02-19T16:00:00.000Z,18023
2015-02-22T16:00:00.000Z,17961
2015-02-23T16:00:00.000Z,18051
2015-02-24T16:00:00.000Z,18110
2015-02-25T16:00:00.000Z,17921
2015-02-26T16:00:00.000Z,17854
2015-03-01T16:00:00.000Z,18034
2015-03-02T16:00:00.000Z,18303
2015-03-03T16:00:00.000Z,18908
2015-03-04T16:00:00.000Z,19513
2015-03-05T16:00:00.000Z,20394
2015-03-08T16:00:00.000Z,20968
2015-03-09T16:00:00.000Z,21568
2015-03-10T16:00:00.000Z,22675
2015-03-11T16:00:00.000Z,24218
2015-03-12T16:00:00.000Z,24744
2015-03-15T16:00:00.000Z,25325
2015-03-16T16:00:00.000Z,25489
2015-03-17T16:00:00.000Z,25426
2015-03-18T16:00:00.000Z,25189
2015-03-19T16:00:00.000Z,24950
2015-03-22T16:00:00.000Z,24855
2015-03-23T16:00:00.000Z,24744
2015-03-24T16:00:00.000Z,24330
2015-03-25T16:00:00.000Z,24127
2015-03-26T16:00:00.000Z,24822
2015-03-29T16:00:00.000Z,26991
2015-03-30T16:00:00.000Z,26864
2015-03-31T16:00:00.000Z,26761
2015-04-01T16:00:00.000Z,26633
2015-04-02T16:00:00.000Z,26468
2015-04-06T16:00:00.000Z,26254
2015-04-07T16:00:00.000Z,25909
2015-04-08T16:00:00.000Z,25616
2015-04-09T16:00:00.000Z,25357
2015-04-12T16:00:00.000Z,25255
2015-04-13T16:00:00.000Z,25138
2015-04-14T16:00:00.000Z,24959
2015-04-15T16:00:00.000Z,24856
2015-04-16T16:00:00.000Z,24732
2015-04-19T16:00:00.000Z,24633
2015-04-20T16:00:00.000Z,24508
2015-04-21T16:00:00.000Z,24407
2015-04-22T16:00:00.000Z,24279
2015-04-23T16:00:00.000Z,24179
2015-04-26T16:00:00.000Z,24038
2015-04-27T16:00:00.000Z,23900
2015-04-28T16:00:00.000Z,23800
2015-04-29T16:00:00.000Z,23674
2015-04-30T16:00:00.000Z,23624
2015-05-03T16:00:00.000Z,23492
2015-05-04T16:00:00.000Z,23367
2015-05-05T16:00:00.000Z,23361
2015-05-06T16:00:00.000Z,23361
2015-05-07T16:00:00.000Z,23361
2015-05-10T16:00:00.000Z,23316
2015-05-11T16:00:00.000Z,23186
2015-05-12T16:00:00.000Z,22884
2015-05-13T16:00:00.000Z,22782
2015-05-14T16:00:00.000Z,22606
2015-05-17T16:00:00.000Z,22606
2015-05-18T16:00:00.000Z,22244
2015-05-19T16:00:00.000Z,22156
2015-05-20T16:00:00.000Z,22188
2015-05-21T16:00:00.000Z,22232
2015-05-25T16:00:00.000Z,22276
2015-05-26T16:00:00.000Z,22474
2015-05-27T16:00:00.000Z,22518
2015-05-28T16:00:00.000Z,22518
2015-05-31T16:00:00.000Z,22518
2015-06-01T16:00:00.000Z,22518
2015-06-02T16:00:00.000Z,22518
2015-06-03T16:00:00.000Z,22518
2015-06-04T16:00:00.000Z,22540
2015-06-07T16:00:00.000Z,22562
2015-06-08T16:00:00.000Z,23245
2015-06-09T16:00:00.000Z,23915
2015-06-10T16:00:00.000Z,24383
2015-06-11T16:00:00.000Z,24753
